nohup: ignoring input
================================================================================
[INFO] -- Experiment Configs --
        training
           lr:           0.0100
         seed:           1
       epochs:           1000
       method:           mlqp2
hidden number:           256
================================================================================
[INFO]: the plt save address is ./model=mlqp2_lr=0.01_seed=1_hidden_num=256
cuda
[INFO] -- MLQP2 INIT --
Epoch : 58, Training loss = 0.05, Training Acc = 0.96, Validation loss = 0.04, Validation Acc = 0.97
Epoch : 59, Training loss = 0.04, Training Acc = 0.96, Validation loss = 0.04, Validation Acc = 0.98
Epoch : 60, Training loss = 0.04, Training Acc = 0.96, Validation loss = 0.04, Validation Acc = 0.98
Epoch : 61, Training loss = 0.04, Training Acc = 0.96, Validation loss = 0.03, Validation Acc = 0.98
Epoch : 62, Training loss = 0.04, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.98
Epoch : 63, Training loss = 0.04, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 64, Training loss = 0.03, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 65, Training loss = 0.03, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 66, Training loss = 0.03, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 67, Training loss = 0.03, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 68, Training loss = 0.03, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 69, Training loss = 0.03, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 70, Training loss = 0.03, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 71, Training loss = 0.03, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 72, Training loss = 0.02, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 73, Training loss = 0.02, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 74, Training loss = 0.02, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 75, Training loss = 0.02, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 76, Training loss = 0.02, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 77, Training loss = 0.02, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 78, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.02, Validation Acc = 0.99
Epoch : 79, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 0.99
Epoch : 80, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 0.99
Epoch : 81, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 0.99
Epoch : 82, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 0.99
Epoch : 83, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 0.99
Epoch : 84, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 0.99
Epoch : 85, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 86, Training loss = 0.02, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 87, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
